Price Equity,Hotel Appeal,Economic Fit,Problem Resolution,Compensation Offer,Budget Rate,Support Adequacy,Food Hygiene,Room Comfort,Service Consistency,Perceived Value,Public Transport,Walkable Access,Facility Convenience,Tech Service,Location Suitability,Physical Access,Checkin Speed,Website Clarity,Guest Promptness,Issue Reporting,Mgt Acknowledgement,Staff Appearance,Tourist Responsiveness,Polite Handling,Staff Availability,Customer Info,Security Trust,WiFi Reliability,Local Info,Cost Clarity,Staff Knowledge,CAST
2,2,2,0,1,2,2,2,2,0,2,1,0,2,2,2,2,2,2,2,1,1,2,2,1,2,0,2,2,2,0,2,2
1,2,1,1,2,1,2,2,2,0,1,2,2,1,2,1,1,2,1,2,2,2,2,1,2,2,0,0,1,0,0,0,2
1,1,1,2,1,1,1,1,1,2,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,2,1,0,1,2,1,1
0,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,2,0,1,1,0,0,1,0,0,0,1
1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,0,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1
0,0,0,2,2,0,0,0,0,2,0,2,0,2,0,2,2,0,2,2,2,2,2,1,2,2,2,1,2,1,2,1,0
2,2,2,2,1,2,2,2,2,1,2,2,2,0,2,0,0,0,0,0,1,1,2,0,1,1,1,2,0,2,1,2,2
2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,0,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,2,1,1,1,2,1,1,1,1,0,1,1,1,1
0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,2,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,1,2,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,0,2,1,2,2,2,1,2,2,2,1,2,1,2,1,1
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,0,1,0,0,1,0,0,0,2,1,2,2,1,0,2,1,2,2,2,0,0,0,1,0,0,2,0,2,0,2,0,2
2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,1,1,0,1,1,1,1,1,0,1,1,0,2,1,0,0,1,0,2,1,1,1,1,1,1,0,0,1,0,0,0,1
2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2
1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,2,1,1,1,0,0,1,0,1,0,1,0,1,0,0
1,0,1,2,1,1,0,0,0,1,1,1,0,1,0,2,1,0,1,1,1,1,0,0,1,2,1,1,1,1,1,1,1
1,1,1,0,2,1,1,1,1,0,1,2,2,2,1,2,0,0,2,2,2,2,1,0,2,2,0,2,2,2,0,2,1
1,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,2
1,2,1,1,1,1,2,2,2,0,1,1,1,2,2,1,0,1,2,2,1,1,2,1,1,1,0,0,1,0,0,0,0
2,1,2,2,1,2,1,1,1,2,2,2,2,2,1,2,2,1,2,0,1,1,1,2,1,2,2,1,2,1,2,1,1
0,1,0,2,0,0,1,1,1,0,0,0,1,2,1,2,1,1,2,0,0,0,1,2,0,1,0,1,2,1,0,1,1
2,0,2,2,1,2,0,0,0,2,2,2,2,0,0,2,2,2,2,2,1,1,0,2,1,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,1,2,1,2,1,2
1,2,1,1,1,1,2,2,2,1,1,1,1,0,2,1,0,0,2,1,1,1,2,1,1,1,1,0,2,0,1,0,1
2,2,2,1,1,2,2,2,2,2,2,2,1,0,2,1,1,2,1,1,1,1,2,2,1,1,2,2,1,2,2,2,2
2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,1,2,1,1,1,2
1,0,1,2,1,1,0,0,0,2,1,2,1,2,0,1,0,0,2,2,1,1,0,1,1,2,2,0,2,0,2,0,2
1,0,1,2,1,1,0,0,0,0,1,1,1,2,0,0,0,0,0,0,1,1,0,0,1,2,0,0,2,0,0,0,1
2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,2,1,2
2,1,2,2,2,2,1,1,1,1,2,2,1,2,1,2,2,0,1,0,2,2,1,2,2,0,1,2,0,2,1,2,0
0,2,0,0,1,0,2,2,2,0,0,0,0,1,2,0,0,0,2,0,1,1,2,2,1,1,0,0,2,0,0,0,0
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,0,1,2,1,1,0,0,0,1,1,1,1,0,0,1,0,2,2,2,1,1,0,2,1,2,1,0,2,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,0,2,0,0,2,2,2,1,0,1,0,2,2,1,0,2,2,2,0,0,2,2,0,2,1,0,0,0,1,0,0
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,0,2,2,2,2,0,0,0,1,2,2,2,2,0,2,2,2,0,2,2,2,0,2,2,2,1,2,2,2,1,2,1
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,2,1,2,1,1,2,2,2,1,1,1,1,2,2,1,2,2,1,2,1,1,2,2,1,2,1,2,1,2,1,2,1
0,2,0,2,1,0,2,2,2,1,0,1,1,2,2,1,1,2,0,2,1,1,2,2,1,2,1,2,2,2,1,2,0
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,2,1,2,2,1,2,2,2,0,1,2,2,0,2,0,0,2,1,2,2,2,2,2,2,2,0,0,0,0,0,0,2
2,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,1,1,2,1,1,1,2
2,2,2,0,2,2,2,2,2,1,2,2,2,2,2,1,1,0,2,0,2,2,2,0,2,0,1,1,2,1,1,1,2
1,2,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,1,2,1,2,1,2
1,2,1,2,0,1,2,2,2,0,1,0,0,2,2,1,0,2,1,2,0,0,2,2,0,2,0,0,2,0,0,1,0
1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,2,1,2,1,1,1,0,1,1,1,1,2,2,2,1,0,2
1,2,1,1,2,1,2,2,2,2,1,2,1,2,2,1,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2
1,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,2,1,1,1,1,2,2,2,2,1,2,2,2,2,1,1,1,2,1,1,1,2,1,1,1,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,0
1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,2,1,0,0,0,1,0,1,0,0,1,0,0,0,0
2,2,2,0,2,2,2,2,2,1,2,2,2,2,2,2,2,0,1,0,2,2,2,0,2,0,1,1,2,2,1,2,0
2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2
0,1,0,2,1,0,1,1,1,2,0,1,1,1,1,1,1,2,2,2,1,1,1,2,1,2,2,2,2,2,2,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,2,2,2,1,2,1,1,2,2,1,1,2,0
0,0,0,2,2,0,0,0,0,2,0,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,0,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,1
2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,1
1,2,1,1,2,1,2,2,2,2,1,1,1,2,2,1,2,1,2,1,2,2,2,1,2,1,2,2,2,2,2,0,2
0,1,0,2,1,0,1,1,1,1,0,2,2,2,1,2,1,2,2,2,1,1,1,2,1,2,1,0,2,2,1,1,0
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
0,2,0,1,2,0,2,2,2,2,0,1,1,0,2,1,0,1,0,1,2,2,2,1,2,1,2,2,0,1,2,1,0
0,2,0,2,0,0,2,2,2,0,0,0,0,2,2,0,0,2,2,2,0,0,2,2,0,2,0,0,0,0,0,0,1
1,0,1,1,1,1,0,0,0,0,1,1,1,2,0,1,0,1,2,1,1,1,0,1,1,1,0,0,2,0,0,0,1
0,2,0,0,0,0,2,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0
1,0,1,2,1,1,0,0,0,2,1,0,0,0,0,0,0,2,0,2,1,1,0,2,1,2,2,0,1,0,2,1,1
1,0,1,0,1,1,0,0,0,0,1,2,2,1,0,2,0,0,2,0,1,1,0,0,1,0,0,0,2,1,0,0,0
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2
2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2
2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,1
1,2,1,2,0,1,2,2,2,2,1,2,2,2,2,2,0,2,2,2,0,0,2,2,0,2,2,0,2,0,2,0,0
0,2,0,2,1,0,2,2,2,2,0,2,2,0,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,1
1,2,1,0,2,1,2,2,2,0,1,1,1,0,2,1,0,0,2,0,2,2,2,0,2,0,0,2,1,2,0,2,0
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,1,0,2,1,0,1,1,1,1,0,0,0,0,1,0,0,2,0,2,1,1,1,2,1,2,1,0,0,2,1,2,0
0,0,2,2,0,1,1,2,1,1,2,2,2,0,2,2,0,2,2,2,0,0,2,2,0,2,1,0,2,2,1,0,0
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,1,2,0,2,2
0,2,1,1,1,1,1,1,2,2,1,2,2,0,1,2,1,1,1,1,1,1,2,1,1,1,0,2,1,2,1,2,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1
1,2,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,0,1,2,2,2,2,1,0,2,2,2,0,2,2,0,2,0,1,1,2,0,1,0,2,2,0,2,2,1,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,2,2
2,1,1,0,2,1,2,1,0,1,1,1,1,1,0,1,1,0,1,0,2,2,0,0,2,0,1,2,1,1,2,1,0
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2
2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,2,2,2,2
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,0
2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,2,2
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,1,2,2,2,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,2,1,2,1,2,2,2,2,2,1,2
1,2,1,2,1,1,2,2,2,2,1,1,1,2,2,1,1,2,1,2,1,1,2,2,1,2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2
0,2,2,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
1,0,2,1,0,2,1,2,1,1,2,1,1,1,2,1,2,1,1,1,0,0,1,1,0,1,1,1,2,2,0,2,1
2,2,2,2,2,1,2,1,1,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2
2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,1
1,2,2,0,1,2,1,1,1,0,1,2,2,0,0,2,2,0,2,0,1,1,2,0,1,0,2,2,2,0,2,0,1
1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,1,2,2,2,2,2,1,2
2,0,0,2,2,1,2,2,0,2,2,2,2,0,2,2,0,2,2,2,2,2,2,2,2,2,0,2,2,2,1,0,1
1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,1,2,0,1,1,1,0,1,1
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2
2,0,0,0,2,2,0,0,1,0,2,2,2,0,0,2,0,0,2,0,2,2,2,0,2,0,2,2,2,1,2,0,0
2,2,1,2,1,1,1,1,2,1,1,2,2,1,2,2,1,2,2,2,1,1,2,2,1,2,1,2,2,2,2,2,1
2,0,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2
2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
0,0,0,0,1,2,2,2,2,1,0,1,1,2,1,1,0,0,0,0,1,1,2,0,1,0,2,0,0,2,0,1,1
2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,2,2
2,2,1,2,0,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,0,2,2,2,1,1,2,2,2
2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2
2,0,1,2,0,2,2,1,0,1,0,1,1,1,0,1,1,2,1,2,0,0,2,2,0,2,2,1,1,1,1,2,1
0,1,0,0,1,0,2,2,2,1,0,2,2,1,2,2,1,0,1,0,1,1,0,0,1,0,2,1,1,0,2,2,0
2,2,2,2,2,1,0,0,2,2,1,0,0,1,1,0,1,2,1,2,2,2,2,2,2,1,1,2,1,1,0,2,1
2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,0,0,2,0,2,2,2,2,2,2,2,0,2,0,2,1,2,2
2,2,2,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,1,2,2,0,2,1,2,1,1,1
2,2,1,1,0,1,2,2,2,2,2,0,0,2,2,0,2,2,2,2,0,0,2,2,0,1,2,1,2,1,2,1,1
0,1,0,0,0,0,2,1,1,1,0,0,0,1,1,0,1,2,1,0,0,0,1,0,0,0,0,2,1,0,0,1,0
1,1,1,0,1,1,1,0,0,1,1,2,2,1,1,2,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,1,0
1,2,0,2,2,0,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2,2,2,2,1,2,2,1,2,2,2,0,0,2,2,0,2,2,2,2,1,1,2,2,1,2,1,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2
2,2,1,1,1,2,2,1,2,2,1,0,0,1,1,0,1,1,1,1,1,1,2,2,1,1,1,2,1,1,2,1,1
2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,1,2,1,1,1,1
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2
2,2,1,1,1,1,2,0,1,1,2,2,2,0,0,2,0,2,0,0,1,1,1,1,1,0,1,2,0,1,1,2,1
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,2,2,0,2,2
2,1,2,1,0,2,0,1,0,2,2,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,2,1,0,1,0,0,1
2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2
1,2,1,1,1,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,0,1,1,0,1,2,0,1,1,1
